Proposal ID,Programme Name,Sub-programme Name,Supplement,Lead Applicant,ORCID,Research Body,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date,Revised Total Commitment
13/IA/1840(T),SFI Investigator Programme,Non-Themed and Non-ERC,,Andreas Heise,https://orcid.org/0000-0001-5916-8500,Royal College of Surgeons in Ireland (RCSI),Science Foundation Ireland,10.13039/501100001602,Functional polymers for (nano)medical devices,01/01/2016,30/06/2020,1677148.16
13/YI/I2601,SFI President of Ireland Young Researcher Award,,,Valeria Nicolosi,https://orcid.org/0000-0002-7637-4813,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,In-situ aberration-corrected transmission electron microscopy: real-time investigation of materials at atomic level,01/01/2014,31/12/2018,1065047.83
13/RP/B2549,SFI Research Professorship Programme,,,Michael Zaworotko,https://orcid.org/0000-0002-1360-540X,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,Crystal Engineering of Task-Specific Materials,01/11/2013,31/10/2019,6230733
DPP/13/01,SFI Discover Programme,,,Colm O'Reilly,,Dublin City University (DCU),Science Foundation Ireland,10.13039/501100001602,Centre for Academic Advancement,05/05/2014,04/12/2014,20000
DPP/13/02,SFI Discover Programme,,,John O'Donoghue,,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,Munster Regional Festival of Science and Mathematics,01/02/2014,30/11/2014,8000
DPP/13/03,SFI Discover Programme,,,John O'Donoghue,,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,North Munster and Region Maths Week 2014,01/06/2014,30/11/2014,3000
DPP/13/05,SFI Discover Programme,,,Jackie Gorman,https://orcid.org/0000-0002-8091-2565,Atlantic Corridor,Science Foundation Ireland,10.13039/501100001602,Midlands Science Festival 2014,10/11/2014,09/12/2014,20000
DPP/13/06,SFI Discover Programme,,,Catherine Buckley,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Debating Science Issues - National Semi-Finals and Finals,01/03/2014,31/07/2014,4260
DPP/13/10,SFI Discover Programme,,,Tom Hyland,,Galway Science & Technology Forum,Science Foundation Ireland,10.13039/501100001602,Galway Science & Technology Festival,01/01/2014,31/12/2014,25000
DPP/13/12,SFI Discover Programme,,,Marc McCarthy,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,My Gut Feeling,01/02/2014,31/10/2014,9745.31
DPP/13/13,SFI Discover Programme,,,Pat McHale,https://orcid.org/0000-0001-5349-2174,Mayo County Council t/a Mayo Science & Technology Festival,Science Foundation Ireland,10.13039/501100001602,Mayo Science & Technology Festival,01/05/2014,31/12/2014,10000
DPP/13/18,SFI Discover Programme,,,Aoibheann Bird,https://orcid.org/0000-0002-3603-5331,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Thesis in 3 (Tin3) 2014,01/02/2014,31/01/2015,7750
DPP/13/19,SFI Discover Programme,,,Emma Teeling,https://orcid.org/0000-0002-3309-1346,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Ecology and Evolution In Action: Lessons from Bats,01/07/2014,30/09/2014,6000
DPP/13/20,SFI Discover Programme,,,Eilish McLoughlin,,Dublin City University (DCU),Science Foundation Ireland,10.13039/501100001602,Busking Physics,01/06/2014,31/01/2016,40000
DPP/13/23,SFI Discover Programme,,,Marcela Whelan,,Cork City Council,Science Foundation Ireland,10.13039/501100001602,Discovery Science Festival,09/11/2014,08/12/2014,25000
DPP/13/26,SFI Discover Programme,,,Fiona Doohan,https://orcid.org/0000-0002-1953-6070,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Earth Festival - Science through Art: A collaborative learning experience,01/04/2014,31/12/2014,15000
DPP/13/27,SFI Discover Programme,,,Jenny Beale,,Brigit's Garden,Science Foundation Ireland,10.13039/501100001602,Exploring Nature's Power,01/04/2014,31/12/2014,31595
DPP/13/28,SFI Discover Programme,,,Mary Dempsey,,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Youth Academy STEM,01/04/2014,31/12/2014,15000
DPP/13/31,SFI Discover Programme,,,Muriel Grenon,https://orcid.org/0000-0002-9910-5974,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Cell Explorers,01/01/2014,31/12/2014,35000
DPP/13/34,SFI Discover Programme,,,Joanna Quinn,,Royal Dublin Society (RDS),Science Foundation Ireland,10.13039/501100001602,Curiosity Lab @ Science Week,01/11/2014,30/11/2014,25750
DPP/13/35,SFI Discover Programme,,,Sheila Donegan,https://orcid.org/0000-0003-3815-2467,Waterford Institute of Technology (WIT),Science Foundation Ireland,10.13039/501100001602,Robert Boyle Science Week,08/11/2014,07/12/2014,16000
DPP/13/37,SFI Discover Programme,,,Sheila Donegan,https://orcid.org/0000-0003-3815-2467,Waterford Institute of Technology (WIT),Science Foundation Ireland,10.13039/501100001602,Bealtaine Festival,17/05/2014,16/06/2014,4000
DPP/13/40,SFI Discover Programme,,,Noirin Burke,,Galway Atlantaquaria,Science Foundation Ireland,10.13039/501100001602,Explorers Education Programme,01/01/2014,30/11/2014,10000
DPP/13/42,SFI Discover Programme,,,Mervyn Horgan,https://orcid.org/0000-0003-0315-2547,Cork City Council t/a Lifetime Lab,Science Foundation Ireland,10.13039/501100001602,VEX IQ Junior Robotics Programme,06/01/2014,05/12/2014,13000
DPP/13/46,SFI Discover Programme,,,Bernard Kirk,,Galway Education Centre,Science Foundation Ireland,10.13039/501100001602,Irish Schools Mini Sumo Robots Challenge,01/09/2013,31/05/2014,5000
DPP/13/49,SFI Discover Programme,,,Tomas Ward,https://orcid.org/0000-0002-6173-6607,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Maker Ireland - The Irish Maker Festival,16/01/2014,15/11/2014,17000
DPP/13/53,SFI Discover Programme,,,Michael White,,British Council Ireland,Science Foundation Ireland,10.13039/501100001602,Famelab Ireland 2014,01/01/2014,31/12/2014,7750
DPP/13/54,SFI Discover Programme,,,Rudi Villing,https://orcid.org/0000-0002-0245-1345,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,A scalable portable humanoid robot soccer exhibition platform,07/04/2014,06/02/2015,9500
DPP/13/57,SFI Discover Programme,,,Ria O'Sullivan,,Cork Institute of Technology (CIT),Science Foundation Ireland,10.13039/501100001602,Project TARA,06/01/2014,05/01/2015,35000
DPP/13/59,SFI Discover Programme,,,Peter Gallagher,https://orcid.org/0000-0001-9745-0400,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Sunspotters - Bringing the Sun to Secondary School Students,01/06/2014,30/11/2014,9559.69
DPP/13/69,SFI Discover Programme,,,Ross Whittaker,,Ross Whittaker Enterprises t/a True Films,Science Foundation Ireland,10.13039/501100001602,Unbreakable Tour,01/10/2014,30/11/2014,10000
DPP/13/71,SFI Discover Programme,,,Donagh O'Mahony,,Tyndall National Institute (TNI),Science Foundation Ireland,10.13039/501100001602,Citizen Solar Scientest,01/04/2014,30/11/2015,27475
DPP/13/73,SFI Discover Programme,,,Teenagh Cunningham,,Baboro,Science Foundation Ireland,10.13039/501100001602,"BEAST! (Baboro: Environment, Arts, Science and Technology)",01/02/2014,31/10/2014,10300
DPP/13/77,SFI Discover Programme,,,Anca Mustata,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,The Maths Circles Initiative,06/01/2014,05/01/2015,22000
DPP/13/79,SFI Discover Programme,,,Tom O'Sullivan,,ECDL Ireland Ltd T/A ICS Skills,Science Foundation Ireland,10.13039/501100001602,Tech Week 2014,01/01/2014,30/06/2014,50000
DPP/13/80,SFI Discover Programme,,,Shane McCracken,https://orcid.org/0000-0003-2795-8895,Gallomanor Communications,Science Foundation Ireland,10.13039/501100001602,I'm a Scientist / Engineer - Get me out of here,01/04/2014,31/12/2014,30000
13/INTERN/1001,SFI Internship Programme,,,VP Research (UCD),,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,15/10/2013,14/10/2014,38242.79
13/INTERN/1002,SFI Internship Programme,,,Director of Research (RCSI),,Royal College of Surgeons in Ireland (RCSI),Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,18/02/2014,17/02/2015,65772
13/INTERN/1003,SFI Internship Programme,,,VP Research (MU),,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,15/04/2014,14/09/2014,27893.71
13/INTERN/1004,SFI Internship Programme,,,VP Research (UCD),,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,15/01/2014,14/11/2014,54479.95
13/INTERN/1005,SFI Internship Programme,,,Kingston Mills,https://orcid.org/0000-0003-3646-8222,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,01/01/2014,30/09/2015,109442.67
13/INTERN/1006,SFI Internship Programme,,,Ana Terres,,Dublin City University (DCU),Science Foundation Ireland,10.13039/501100001602,SFI Internship Award,01/01/2014,30/09/2015,113887.57
13/WTSHWF/2917,SFI-HRB-Wellcome Trust Biomedical Research Partnership,Sir Henry Wellcome Postdoctoral Fellowships,,Colm Ryan,https://orcid.org/0000-0003-2750-9854,Health Research Board (HRB),Science Foundation Ireland,10.13039/501100001602,The Impact of Genetic Heterogeneity on Synthetic Lethality in Cancer,01/07/2014,30/06/2018,54415.08
13/SP INFANT/B2888,SFI Spokes Programme,Fixed Call,,Geraldine Boylan,https://orcid.org/0000-0003-0920-5291,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Personalise Nutrition for the Preterm Infant (PiNPoiNT),01/10/2014,31/12/2019,1078038
13/SP SSPC/I2893,SFI Spokes Programme,Fixed Call,,Michael Zaworotko,https://orcid.org/0000-0002-1360-540X,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,Advanced Biopharmaceutical Technologies,01/10/2014,31/12/2017,1368416
13/SIRG/2130(T),SFI Starting Investigator Research Grant,,,Annie Curtis,https://orcid.org/0000-0002-9601-9624,Royal College of Surgeons in Ireland (RCSI),Science Foundation Ireland,10.13039/501100001602,A New Dimension to the Immune Response: Biological Molecular Clocks Controlling Inflammation.,15/08/2016,14/03/2019,296650.14
13/SIRG/2137(T),SFI Starting Investigator Research Grant,,,Micheál D. Scanlon,https://orcid.org/0000-0001-7951-7085,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,"Designing Reactive Functionalised Soft Interfaces � Self-healing soft materials for solar energy conversion, energy storage, and sustainable low cost hydrogen production",01/01/2017,31/08/2019,222029
13/SIRG/2185(T),SFI Starting Investigator Research Grant,,,Stephen Dooley,https://orcid.org/0000-0001-9450-8486,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Realistic Reaction Kinetics Models for the Production of Platform Chemicals and Designer Fuels from Biomass,01/09/2016,30/04/2019,390424.6
13/SPP/I2868,SFI Strategic Partnership Programme,,,Peter Corcoran,https://orcid.org/0000-0003-1670-4793,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Next Generation Imaging for Smartphone and Embedded Platforms,01/10/2014,30/09/2019,950846
13/TIDA/B2908(FT),SFI Technology Innovation Development Award,Fast Track,,Kingston Mills,https://orcid.org/0000-0003-3646-8222,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Helminth-derived immunomodulatory molecules as therapeutics for immune-mediated disease,01/02/2014,31/05/2015,128302
13/TIDA/I2620(FT),SFI Technology Innovation Development Award,Fast Track,,Ravindranathan Thampi,https://orcid.org/0000-0001-7431-9741,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Enabling early market entry for dye sensitised solar cells,01/08/2013,30/11/2014,129763.27
13/TIDA/I2875(FT),SFI Technology Innovation Development Award,Fast Track,,Cathal Gurrin,https://orcid.org/0000-0003-2903-3968,Dublin City University (DCU),Science Foundation Ireland,10.13039/501100001602,Eye-Aware - Real-time contextual understanding for wearable computing,01/12/2013,28/02/2015,116616.16
13/TIDA/B2588,SFI Technology Innovation Development Award,,,Kevin O'Connor,https://orcid.org/0000-0001-7202-0076,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Biocompatible biopolymer as a neural cell regeneration scaffold (smart material for tissue regeneration),01/01/2014,31/12/2014,112078.2
